Published,User,Comment
2023-11-19T15:42:35Z,@safayun5411,Harus ada solusi bantu saudara seiman semoga Alloh jauhkan bahaya &amp; musibah spt tsunami tempo hr &amp; gempa” lainnya. Ingatlah Alloh ketika senang &amp; bertawakallah. Semoga Alloh limpahkan rahmatnya dr arah yg tak disangka”.
2023-11-19T15:41:14Z,@syahrinabubakar1801,Yang aku heran kenapa orang Melayu boleh tinggal di Burma sana tidak pulak melarikan diri balik Malaysia...
2023-11-19T15:09:26Z,@siboysajogja7609,usir aja...BERBAHAYA ITU BISA2 SEPERTI ISRAEL...NGUSIR PENDUDUK PALESTINA
2023-11-19T14:57:24Z,@dedikusuma6795,LEMAH NYA PERTAHANAN KELAUTAN KITA. BIKIN MALU
2023-11-19T14:38:52Z,@areenarena,Salam dari malaysia.  Rasain kalian. Dahulu hina malaysia itu ini .
2023-11-19T14:29:55Z,@rampadvocate3849,"Berarti kalau palestina juga datang ke indonesia , pasti diusir... 😂😂😂😂"
2023-11-19T14:28:09Z,@MorodokEpsision,"Yang bilang kasihan, ga punya rasa kemanusiaan, jelekin org Aceh karna nolak....silahkan Lo tampung sendiri d rumah dan tanah lo, jgn bisanya nyuruh orang saja.."
2023-11-19T14:21:08Z,@lucynanta482,Lebih baik tolak saja..... Nanti takutnya malah ngelunjak mending cari aman aja deh
2023-11-19T14:20:24Z,@darmaone8129,"Mereka bukan terdampar..ini jelas sudah terorganisir..sebab bukan sekali dua kali..,jika tidak salah ini udah gelombang ketiga...dan hal ini terjadi di negara lain juga"
2023-11-19T13:32:55Z,@handri1457,Katanya saudara..maaf yaa rohingya...hanya palestina aja yg saudara😂😂😂😂
2023-11-19T12:58:04Z,@pakimron5209,Pasti pengungsi Rohingya pernah berbuat  kesalahan sehingga di usir dr negaranya
2023-11-19T12:36:38Z,@harriyolandi9862,Ya Allah berikah mereka tempat di indonesia..mereka muslim..kasihan mereka..berilah mereka pulau kecil
2023-11-19T12:26:48Z,@riannunuhitu3327,Yg jadi pertanyaan knapa mereka ditindas di negara sendiri sampai mengungsi
2023-11-19T12:19:12Z,@dwisur5094,"Kedepannya kita TDK tahu...drpd nnti timbul byk konflik dan timbul kriminalitas, konflik etnis, mending dipulangkan ke negara asal nya sana. Dilihat juga orangnya TDK produktif cenderung pasif. <br><br>Takutnya juga setelah merasakan enak di Aceh.. mereka mengundang Rohingnya Rohingnya utk berbondong bondong DTG ke Aceh dgn ratusan orang lagi. Semrawut yg jelas."
2023-11-19T11:52:57Z,@agusnugroho6125,NKRI harga mati jangan ada imigran asing demi kedaulatan bangsa Indonesia
2023-11-19T10:09:17Z,@ahmadutama-cd9pb,Cukuplah kalian sudah membantu memberi bekal.
2023-11-19T10:02:46Z,@indobeautyy1377,Pertahanan negara lemah pengungsi aja bisa mendarat ke pantai 😂😂
2023-11-19T09:51:19Z,@user-er2dj6fv1b,Cari sebab kenapa mengungsi apa alasannya jika baik bantu semampunya tapi jangan merasa memiliki jika kurang baik tolak dengan baik juga
2023-11-19T09:42:39Z,@regivernando3992,Di kasih makan minum di kasih obat di bekal di kasih pealatan buat masak udah di kasih semua terus suruh pulang lagi ke asal nya
2023-11-19T09:25:57Z,@egik...7577,Tolak jangan biarkan di Indonesia nanti kalok di kasih menetap nanti makin ngelunjak kayak di Malaysia...
2023-11-19T09:25:07Z,@lindadwiyuliana9310,"Di usir aja, ntr ngelunjak kaya israel. Di tolong malah mau ngambil negara"
2023-11-19T09:20:33Z,@yulialiaadnar8062,Tolak saja muak dengan bangsa ini jahatnya mintak ampun
2023-11-19T09:06:15Z,@peterromil3979,Saran: mereka di tampung di petamburan lalu dipelihara. suatu waktu butuh masa untuk demo tinggal kerahkan. Apalagi bentar lagi kan pilpres tuh 2024. 😊
2023-11-19T08:07:22Z,@cerrychan3059,Takutnya terjadi kejahatan yg gk kita inginkan usir saja dibiarkan malah nanti menindas wilayah warga kitasendri
2023-11-19T08:06:51Z,@user-cn6qf7qh7e,Mereka juga Islam lalu Indonesia tolak mereka pergi ke mana itu yang perlu mereka.Agama Islam
